application,load,type,compressor,iteration,time,repetition
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,22.24035930633545,9
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.413663625717163,10
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,22.02492356300354,11
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,18.59695291519165,12
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.295385360717773,13
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.584649562835693,14
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.595054388046265,15
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,22.63431143760681,16
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,18.611897230148315,17
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.676794052124023,18
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,23.081526279449463,19
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.045430660247803,20
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.49039649963379,21
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,18.536332607269287,22
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.42471170425415,23
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.77187490463257,24
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,19.65927481651306,25
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.304242849349976,26
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,18.747737407684326,27
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,19.96585440635681,28
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.52543306350708,29
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.391116380691528,0
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.4951722621917725,1
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.34687876701355,2
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.318116664886475,3
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.263391733169556,4
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.317599773406982,5
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.494601488113403,6
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.339343309402466,7
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.452062606811523,8
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.345773935317993,9
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.453314542770386,10
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.307673215866089,11
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.296933889389038,12
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.475514411926269,13
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.303011178970337,14
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.367110013961792,15
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.2929205894470215,16
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.281954765319824,17
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.331484079360962,18
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.351126432418823,19
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.634092330932617,20
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.327849626541138,21
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.839922904968262,22
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.373512268066406,23
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.554297685623169,24
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.276479005813599,25
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.402208805084228,26
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.349004030227661,27
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.47767448425293,28
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.326642751693726,29
YATSERVER,BINCSVH1,BCLEAN,heif,11,191.5366244316101,0
YATSERVER,BINCSVH1,BCLEAN,heif,11,190.46717047691345,1
YATSERVER,BINCSVH1,BCLEAN,heif,11,189.07001185417175,2
YATSERVER,BINCSVH1,BCLEAN,heif,11,194.84015440940857,3
YATSERVER,BINCSVH1,BCLEAN,heif,11,187.25114035606384,4
YATSERVER,BINCSVH1,BCLEAN,heif,11,188.39974212646484,5
YATSERVER,BINCSVH1,BCLEAN,heif,11,191.75217843055725,6
YATSERVER,BINCSVH1,BCLEAN,heif,11,188.76735091209412,7
YATSERVER,BINCSVH1,BCLEAN,heif,11,186.37805271148682,8
YATSERVER,BINCSVH1,BCLEAN,heif,11,187.02621817588806,9
YATSERVER,BINCSVH1,BCLEAN,heif,11,189.58206295967102,10
YATSERVER,BINCSVH1,BCLEAN,heif,11,188.651850938797,11
YATSERVER,BINCSVH1,BCLEAN,heif,11,187.14117765426636,12
YATSERVER,BINCSVH1,BCLEAN,heif,11,194.67725658416748,13
YATSERVER,BINCSVH1,BCLEAN,heif,11,190.8262481689453,14
YATSERVER,BINCSVH1,BCLEAN,heif,11,190.2666552066803,15
YATSERVER,BINCSVH1,BCLEAN,heif,11,191.26758790016174,16
YATSERVER,BINCSVH1,BCLEAN,heif,11,193.66958737373352,17
YATSERVER,BINCSVH1,BCLEAN,heif,11,197.00813364982605,18
YATSERVER,BINCSVH1,BCLEAN,heif,11,195.86663794517517,19
YATSERVER,BINCSVH1,BCLEAN,heif,11,187.63315725326538,20
YATSERVER,BINCSVH1,BCLEAN,heif,11,193.31242036819458,21
YATSERVER,BINCSVH1,BCLEAN,heif,11,189.59121561050415,22
YATSERVER,BINCSVH1,BCLEAN,heif,11,190.58017659187317,23
YATSERVER,BINCSVH1,BCLEAN,heif,11,188.99492144584656,24
YATSERVER,BINCSVH1,BCLEAN,heif,11,187.61859130859375,25
YATSERVER,BINCSVH1,BCLEAN,heif,11,191.69628524780273,26
YATSERVER,BINCSVH1,BCLEAN,heif,11,189.62200570106506,27
YATSERVER,BINCSVH1,BCLEAN,heif,11,188.9039294719696,28
YATSERVER,BINCSVH1,BCLEAN,heif,11,189.5377960205078,29
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.327790021896362,0
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.307376384735107,1
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.282911539077758,2
YATSERVER,BINCSVH1,BCLEAN,entropy,3,3.138169288635254,3
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.3111422061920162,4
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.303866624832153,5
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.309653282165527,6
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.35664701461792,7
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.344512224197387,8
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.3261990547180171,9
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.578304052352905,10
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.513919591903686,11
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.527094602584838,12
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.332176685333252,13
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.291885375976562,14
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.302529573440551,15
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.289910554885864,16
YATSERVER,BINCSVH1,BCLEAN,entropy,3,4.489946365356445,17
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.313042163848877,18
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.304200649261474,19
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.341012716293335,20
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.32236647605896,21
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.327059268951416,22
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.2949490547180171,23
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.286319017410278,24
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.317128419876098,25
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.313881397247314,26
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.288384199142456,27
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.293459177017212,28
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.902796268463134,29
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.23293137550354,0
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.272352457046508,1
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.296885251998901,2
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.27320384979248,3
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.311018705368042,4
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.254410505294799,5
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.287476778030395,6
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.260449647903442,7
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.288493156433105,8
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.296706914901733,9
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.294947147369384,10
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.287623167037963,11
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.27189302444458,12
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.262473583221435,13
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,4.573275566101074,14
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.309689760208129,15
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.288026332855224,16
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.29938268661499,17
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.260524988174438,18
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.27892255783081,19
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.26941704750061,20
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,2.86838698387146,21
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.26921272277832,22
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.277297735214233,23
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.473052740097046,24
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.533653974533081,25
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.544548749923706,26
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.378789901733398,27
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.299525022506713,28
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.2676053047180171,29
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7630980014801021,0
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7722282409667961,1
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7633640766143791,2
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.855473279953002,3
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7946262359619141,4
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7581796646118161,5
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.768426418304443,6
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.78411865234375,7
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.794429540634155,8
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.82117486000061,9
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7976579666137691,10
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.766181945800781,11
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.783876895904541,12
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.8091597557067871,13
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7699308395385741,14
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.768326520919799,15
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.797998189926147,16
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.904845714569091,17
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.804001569747924,18
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.8050243854522701,19
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.8189218044281,20
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7614696025848381,21
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7723278999328611,22
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.757087469100952,23
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.761773586273193,24
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.765519380569458,25
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.772729158401489,26
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7715821266174311,27
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.764597177505493,28
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.775614738464355,29
YATSERVER,BINCSVH1,INFINITE,heif,11,190.65620231628418,0
YATSERVER,BINCSVH1,INFINITE,heif,11,188.37340450286865,1
YATSERVER,BINCSVH1,INFINITE,heif,11,185.50829100608826,2
YATSERVER,BINCSVH1,INFINITE,heif,11,187.9318654537201,3
