application,load,type,compressor,iteration,mean_time
YATSERVER,BINCSVH3,SWAP,entropy,-1,17.772145946820576
YATSERVER,BINCSVH3,SWAP,heif,11,191.7286805152893
YATSERVER,BINCSVH3,SWAP,ppmd,10,4.742405581474304
YATSERVER,BINCSVH3,SWAP,zlib,13,2.4126821358998614
YATSERVER,BINCSVH3,UNLOCK,entropy,5,2.1791873534520465
YATSERVER,BINCSVH3,UNLOCK,heif,5,107.15087071259816
YATSERVER,BINCSVH3,UNLOCK,ppmd,2,1.2407037417093911
YATSERVER,BINCSVH3,UNLOCK,zlib,3,0.6502755482991531
YATSERVER,BINCSVL1,ALTCONTROL,entropy,2,1.106744877497355
YATSERVER,BINCSVL1,ALTCONTROL,heif,1,30.656139413515728
YATSERVER,BINCSVL1,ALTCONTROL,ppmd,-1,21.30172673861186
YATSERVER,BINCSVL1,ALTCONTROL,zlib,-1,6.59609150091807
YATSERVER,BINCSVL1,BCLEAN,entropy,2,1.1329062382380166
YATSERVER,BINCSVL1,BCLEAN,heif,11,182.7195010503133
YATSERVER,BINCSVL1,BCLEAN,ppmd,3,1.9786536773045855
YATSERVER,BINCSVL1,BCLEAN,zlib,2,0.5168340444564815
YATSERVER,BINCSVL1,INFINITE,entropy,4,1.8011490503946936
YATSERVER,BINCSVL1,INFINITE,heif,8,130.76172527472178
YATSERVER,BINCSVL1,INFINITE,ppmd,2,1.5796146154403685
YATSERVER,BINCSVL1,INFINITE,zlib,2,0.5402475674947098
YATSERVER,BINCSVL1,MONO,entropy,6,2.462517833709717
YATSERVER,BINCSVL1,MONO,heif,16,293.3712112585703
YATSERVER,BINCSVL1,MONO,ppmd,3,1.9272494316101072
YATSERVER,BINCSVL1,MONO,zlib,5,0.9578330039978024
YATSERVER,BINCSVL1,NOBREAK,entropy,17,8.128081504503886
YATSERVER,BINCSVL1,NOBREAK,heif,13,223.90577907562255
YATSERVER,BINCSVL1,NOBREAK,ppmd,-1,23.804096476236978
YATSERVER,BINCSVL1,NOBREAK,zlib,29,7.0069930712382
YATSERVER,BINCSVL1,SLEEP,entropy,4,1.8172605435053504
YATSERVER,BINCSVL1,SLEEP,heif,12,203.33367035388946
YATSERVER,BINCSVL1,SLEEP,ppmd,2,1.5610480388005572
YATSERVER,BINCSVL1,SLEEP,zlib,7,1.294547343254089
YATSERVER,BINCSVL1,SWAP,entropy,14,6.339858357111613
YATSERVER,BINCSVL1,SWAP,heif,6,97.12941950162252
YATSERVER,BINCSVL1,SWAP,ppmd,7,3.8216019709904985
YATSERVER,BINCSVL1,SWAP,zlib,16,3.1172557274500523
YATSERVER,BINCSVL1,UNLOCK,entropy,9,3.654620758692423
YATSERVER,BINCSVL1,UNLOCK,heif,13,229.01863146622975
YATSERVER,BINCSVL1,UNLOCK,ppmd,2,1.5027225494384764
YATSERVER,BINCSVL1,UNLOCK,zlib,3,0.652777004241943
YATSERVER,BINCSVL2,ALTCONTROL,entropy,2,1.5350605726242064
YATSERVER,BINCSVL2,ALTCONTROL,heif,12,188.29144277572632
YATSERVER,BINCSVL2,ALTCONTROL,ppmd,-1,20.74817813237508
YATSERVER,BINCSVL2,ALTCONTROL,zlib,-1,6.288022804260254
YATSERVER,BINCSVL2,BCLEAN,entropy,3,1.9125044981638588
YATSERVER,BINCSVL2,BCLEAN,heif,22,451.3952891508738
YATSERVER,BINCSVL2,BCLEAN,ppmd,2,1.3916390577952062
YATSERVER,BINCSVL2,BCLEAN,zlib,2,0.4855147361755367
YATSERVER,BINCSVL2,INFINITE,entropy,2,1.7098478555679317
YATSERVER,BINCSVL2,INFINITE,heif,7,113.08199558258056
YATSERVER,BINCSVL2,INFINITE,ppmd,2,1.4876036405563349
YATSERVER,BINCSVL2,INFINITE,zlib,3,0.6326310555140172
YATSERVER,BINCSVL2,MONO,entropy,8,5.161662292480469
YATSERVER,BINCSVL2,MONO,heif,11,193.59031901359558
YATSERVER,BINCSVL2,MONO,ppmd,2,1.4945136070251464
YATSERVER,BINCSVL2,MONO,zlib,4,0.7622081995010372
YATSERVER,BINCSVL2,NOBREAK,entropy,28,21.43743543624878
YATSERVER,BINCSVL2,NOBREAK,heif,6,98.47831412951152
YATSERVER,BINCSVL2,NOBREAK,ppmd,12,6.900999744733174
YATSERVER,BINCSVL2,NOBREAK,zlib,7,1.2379489819208775
YATSERVER,BINCSVL2,SLEEP,entropy,5,2.923163119951884
YATSERVER,BINCSVL2,SLEEP,heif,9,147.46492108503978
YATSERVER,BINCSVL2,SLEEP,ppmd,2,1.57458279132843
YATSERVER,BINCSVL2,SLEEP,zlib,7,1.2329507191975906
YATSERVER,BINCSVL2,SWAP,entropy,4,2.7674321810404456
YATSERVER,BINCSVL2,SWAP,heif,5,82.08020904858907
YATSERVER,BINCSVL2,SWAP,ppmd,4,2.4580840110778803
YATSERVER,BINCSVL2,SWAP,zlib,17,3.1538680632909135
YATSERVER,BINCSVL2,UNLOCK,entropy,11,6.398574662208557
YATSERVER,BINCSVL2,UNLOCK,heif,13,221.76161114374796
YATSERVER,BINCSVL2,UNLOCK,ppmd,3,1.9696539163589475
YATSERVER,BINCSVL2,UNLOCK,zlib,2,0.48947865962982134
YATSERVER,BINCSVL3,ALTCONTROL,entropy,2,1.026292498906453
YATSERVER,BINCSVL3,ALTCONTROL,heif,2,39.22909004688263
YATSERVER,BINCSVL3,ALTCONTROL,ppmd,-1,20.51786864598592
YATSERVER,BINCSVL3,ALTCONTROL,zlib,-1,6.341215435663859
YATSERVER,BINCSVL3,BCLEAN,entropy,2,1.1286942640940345
YATSERVER,BINCSVL3,BCLEAN,heif,9,139.09830792744955
YATSERVER,BINCSVL3,BCLEAN,ppmd,2,1.4022548357645666
YATSERVER,BINCSVL3,BCLEAN,zlib,3,0.6404947121938065
YATSERVER,BINCSVL3,INFINITE,entropy,3,1.4410241365432734
