group,compressor,subset,mean,std,count
YATSERVER|BINCSVH1|SWAP,ppmd,0-10 repetições,3.135781240463256,0.45833099876709776,10
YATSERVER|BINCSVH1|SWAP,ppmd,0-30 repetições,3.504713741938273,0.9980244658118326,30
YATSERVER|BINCSVH1|SWAP,zlib,0-10 repetições,0.9319987297058102,0.055037386965942764,10
YATSERVER|BINCSVH1|SWAP,zlib,0-30 repetições,0.9288540601730342,0.047662038989919796,30
YATSERVER|BINCSVH1|UNLOCK,entropy,0-10 repetições,2.0091433286666867,1.0204888947357253,10
YATSERVER|BINCSVH1|UNLOCK,entropy,0-30 repetições,1.8924350738525388,0.8048583706891191,30
YATSERVER|BINCSVH1|UNLOCK,heif,0-10 repetições,174.41634862422944,4.6758428616454255,10
YATSERVER|BINCSVH1|UNLOCK,heif,0-30 repetições,174.43285722732543,4.418278666925708,30
YATSERVER|BINCSVH1|UNLOCK,ppmd,0-10 repetições,1.4811876058578488,0.5538827182944998,10
YATSERVER|BINCSVH1|UNLOCK,ppmd,0-30 repetições,1.4180260260899857,0.3989019184250411,30
YATSERVER|BINCSVH1|UNLOCK,zlib,0-10 repetições,0.9134122848510741,0.010787947248152758,10
YATSERVER|BINCSVH1|UNLOCK,zlib,0-30 repetições,0.9111426035563147,0.017471050913922887,30
YATSERVER|BINCSVH2|ALTCONTROL,entropy,0-10 repetições,0.9790514230728146,0.01784150486134651,10
YATSERVER|BINCSVH2|ALTCONTROL,entropy,0-30 repetições,1.0508282820383703,0.272579641871471,30
YATSERVER|BINCSVH2|ALTCONTROL,heif,0-10 repetições,95.68661050796509,2.7804943990121758,10
YATSERVER|BINCSVH2|ALTCONTROL,heif,0-30 repetições,96.22269569238027,2.7304971535718328,30
YATSERVER|BINCSVH2|ALTCONTROL,ppmd,0-10 repetições,21.33247129917145,1.2255737901458439,10
YATSERVER|BINCSVH2|ALTCONTROL,ppmd,0-30 repetições,20.453640198707582,1.493646718012243,30
YATSERVER|BINCSVH2|ALTCONTROL,zlib,0-10 repetições,6.787462520599365,0.2804904092744064,10
YATSERVER|BINCSVH2|ALTCONTROL,zlib,0-30 repetições,6.715064326922099,0.17693030383433103,30
YATSERVER|BINCSVH2|BCLEAN,entropy,0-10 repetições,1.3643939733505246,1.0794276004349408,10
YATSERVER|BINCSVH2|BCLEAN,entropy,0-30 repetições,1.1853325605392453,0.6653819750584863,30
YATSERVER|BINCSVH2|BCLEAN,heif,0-10 repetições,132.45344197750092,1.1509553181945456,10
YATSERVER|BINCSVH2|BCLEAN,heif,0-30 repetições,132.2495809475581,1.074060747218403,30
YATSERVER|BINCSVH2|BCLEAN,ppmd,0-10 repetições,1.2823556184768674,0.009032653992303298,10
YATSERVER|BINCSVH2|BCLEAN,ppmd,0-30 repetições,1.2827883640925086,0.011792986304053584,30
YATSERVER|BINCSVH2|BCLEAN,zlib,0-10 repetições,0.5228548288345334,0.00933965610073372,10
YATSERVER|BINCSVH2|BCLEAN,zlib,0-30 repetições,0.5242124716440831,0.00861342346192891,30
YATSERVER|BINCSVH2|INFINITE,entropy,0-10 repetições,1.0881975173950191,0.10976140842073467,10
YATSERVER|BINCSVH2|INFINITE,entropy,0-30 repetições,1.096767624219258,0.33130298061112456,30
YATSERVER|BINCSVH2|INFINITE,heif,0-10 repetições,186.63617594242095,2.240099604866292,10
YATSERVER|BINCSVH2|INFINITE,heif,0-30 repetições,187.22304295698802,3.05203771333624,30
YATSERVER|BINCSVH2|INFINITE,ppmd,0-10 repetições,1.7944843530654904,0.995120202513908,10
YATSERVER|BINCSVH2|INFINITE,ppmd,0-30 repetições,1.5734239816665645,0.6360704437896492,30
YATSERVER|BINCSVH2|INFINITE,zlib,0-10 repetições,0.6668913602828976,0.00889188592185093,10
YATSERVER|BINCSVH2|INFINITE,zlib,0-30 repetições,0.6666892766952511,0.013269100269505512,30
YATSERVER|BINCSVH2|MONO,entropy,0-10 repetições,1.5117727041244504,0.6302938186472763,10
YATSERVER|BINCSVH2|MONO,entropy,0-30 repetições,1.502051035563151,0.6748432030676054,30
YATSERVER|BINCSVH2|MONO,heif,0-10 repetições,322.31286787986755,3.2060670517767322,10
YATSERVER|BINCSVH2|MONO,heif,0-30 repetições,326.4257840077082,9.492675470664379,30
YATSERVER|BINCSVH2|MONO,ppmd,0-10 repetições,1.7159745216369626,0.9874193287837333,10
YATSERVER|BINCSVH2|MONO,ppmd,0-30 repetições,1.6375039180119828,0.7940805030366443,30
YATSERVER|BINCSVH2|MONO,zlib,0-10 repetições,0.6852391242980953,0.03941223186850849,10
YATSERVER|BINCSVH2|MONO,zlib,0-30 repetições,0.6859929800033566,0.03780752167114749,30
YATSERVER|BINCSVH2|NOBREAK,entropy,0-10 repetições,17.384192728996275,1.3515968146519433,10
YATSERVER|BINCSVH2|NOBREAK,entropy,0-30 repetições,17.572698450088502,1.6777010153282912,30
YATSERVER|BINCSVH2|NOBREAK,heif,0-10 repetições,227.9777334690094,1.3227365595347582,10
YATSERVER|BINCSVH2|NOBREAK,heif,0-30 repetições,229.0801695982615,3.176154922732895,30
YATSERVER|BINCSVH2|NOBREAK,ppmd,0-10 repetições,23.806950283050536,1.2998342746240168,10
YATSERVER|BINCSVH2|NOBREAK,ppmd,0-30 repetições,24.076863511403403,1.6806510010900062,30
YATSERVER|BINCSVH2|NOBREAK,zlib,0-10 repetições,2.2343899726867673,0.02960609236164426,10
YATSERVER|BINCSVH2|NOBREAK,zlib,0-30 repetições,2.2319630861282342,0.041904178774161416,30
YATSERVER|BINCSVH2|SLEEP,entropy,0-10 repetições,1.0571060895919795,0.1168408944250875,10
YATSERVER|BINCSVH2|SLEEP,entropy,0-30 repetições,1.1263340632120764,0.6078246910658279,30
YATSERVER|BINCSVH2|SLEEP,heif,0-10 repetições,130.97868328094484,1.1803576539076768,10
YATSERVER|BINCSVH2|SLEEP,heif,0-30 repetições,132.99544258912405,4.777728465166662,30
YATSERVER|BINCSVH2|SLEEP,ppmd,0-10 repetições,1.2752298355102536,0.02080306792431836,10
YATSERVER|BINCSVH2|SLEEP,ppmd,0-30 repetições,1.2752635002136228,0.01903043250581639,30
YATSERVER|BINCSVH2|SLEEP,zlib,0-10 repetições,0.5384617567062374,0.021846651750493155,10
YATSERVER|BINCSVH2|SLEEP,zlib,0-30 repetições,0.5283568461736039,0.015482479400280412,30
YATSERVER|BINCSVH2|SWAP,entropy,0-10 repetições,2.141516256332397,0.5822785533129845,10
YATSERVER|BINCSVH2|SWAP,entropy,0-30 repetições,2.1348829428354894,0.5591506034686718,30
YATSERVER|BINCSVH2|SWAP,heif,0-10 repetições,71.55431270599365,1.6401257827447375,10
YATSERVER|BINCSVH2|SWAP,heif,0-30 repetições,71.54070514043173,1.825148645304782,30
YATSERVER|BINCSVH2|SWAP,ppmd,0-10 repetições,1.8844439268112179,0.554290495700246,10
YATSERVER|BINCSVH2|SWAP,ppmd,0-30 repetições,1.844987908999125,0.42240151761794376,30
YATSERVER|BINCSVH2|SWAP,zlib,0-10 repetições,0.6587870359420773,0.007171559908932831,10
YATSERVER|BINCSVH2|SWAP,zlib,0-30 repetições,0.6592632214228309,0.00854124126131098,30
YATSERVER|BINCSVH2|UNLOCK,entropy,0-10 repetições,4.41037950515747,1.483177443134504,10
YATSERVER|BINCSVH2|UNLOCK,entropy,0-30 repetições,4.338259204228719,1.2284294972230518,30
YATSERVER|BINCSVH2|UNLOCK,heif,0-10 repetições,169.71231560707093,2.356674326368785,10
YATSERVER|BINCSVH2|UNLOCK,heif,0-30 repetições,169.5236232360204,1.817719666059169,30
YATSERVER|BINCSVH2|UNLOCK,ppmd,0-10 repetições,1.2807415246963498,0.01943421544868155,10
YATSERVER|BINCSVH2|UNLOCK,ppmd,0-30 repetições,1.283797987302144,0.02849276495949589,30
YATSERVER|BINCSVH2|UNLOCK,zlib,0-10 repetições,0.8067125320434567,0.012964545062641636,10
YATSERVER|BINCSVH2|UNLOCK,zlib,0-30 repetições,0.811425137519836,0.01810955980972757,30
YATSERVER|BINCSVH3|ALTCONTROL,entropy,0-10 repetições,1.190517449378967,0.5866209789019894,10
YATSERVER|BINCSVH3|ALTCONTROL,entropy,0-30 repetições,1.1904299497604365,0.6875787986959941,30
YATSERVER|BINCSVH3|ALTCONTROL,heif,0-10 repetições,111.67989773750305,2.687442639702673,10
YATSERVER|BINCSVH3|ALTCONTROL,heif,0-30 repetições,111.63453493118286,2.1285015067345565,30
YATSERVER|BINCSVH3|ALTCONTROL,ppmd,0-10 repetições,18.138609457015992,0.13003002609003486,10
YATSERVER|BINCSVH3|ALTCONTROL,ppmd,0-30 repetições,18.097103460629782,0.28418040336796996,30
YATSERVER|BINCSVH3|ALTCONTROL,zlib,0-10 repetições,6.583172345161438,0.11650017639632526,10
YATSERVER|BINCSVH3|ALTCONTROL,zlib,0-30 repetições,6.596008451779683,0.21267319840919754,30
YATSERVER|BINCSVH3|BCLEAN,entropy,0-10 repetições,1.662388706207275,0.978408426978489,10
YATSERVER|BINCSVH3|BCLEAN,entropy,0-30 repetições,1.4919827222824091,0.6277365521605877,30
YATSERVER|BINCSVH3|BCLEAN,heif,0-10 repetições,173.86830015182494,2.4464407062838243,10
YATSERVER|BINCSVH3|BCLEAN,heif,0-30 repetições,173.47585428555806,2.589475525017364,30
YATSERVER|BINCSVH3|BCLEAN,ppmd,0-10 repetições,1.2427451372146603,0.014562303820674338,10
YATSERVER|BINCSVH3|BCLEAN,ppmd,0-30 repetições,1.2464738607406614,0.01599199016978588,30
YATSERVER|BINCSVH3|BCLEAN,zlib,0-10 repetições,0.8094682931900021,0.018937459407543798,10
YATSERVER|BINCSVH3|BCLEAN,zlib,0-30 repetições,0.8111920674641923,0.03607743397561348,30
YATSERVER|BINCSVH3|INFINITE,entropy,0-10 repetições,1.086519908905029,0.11003404725347429,10
YATSERVER|BINCSVH3|INFINITE,entropy,0-30 repetições,1.0998836437861121,0.32318527235203665,30
YATSERVER|BINCSVH3|INFINITE,heif,0-10 repetições,86.6904666185379,1.9000253096258997,10
YATSERVER|BINCSVH3|INFINITE,heif,0-30 repetições,87.2344033241272,3.5055037943075082,30
YATSERVER|BINCSVH3|INFINITE,ppmd,0-10 repetições,1.6142424821853634,0.01387957739569697,10
YATSERVER|BINCSVH3|INFINITE,ppmd,0-30 repetições,1.646029655138651,0.07545226236300862,30
YATSERVER|BINCSVH3|INFINITE,zlib,0-10 repetições,0.6544893741607661,0.00956423672954564,10
YATSERVER|BINCSVH3|INFINITE,zlib,0-30 repetições,0.6586004336675003,0.011946023928686888,30
YATSERVER|BINCSVH3|MONO,entropy,0-10 repetições,1.542887258529663,0.5916902415858616,10
YATSERVER|BINCSVH3|MONO,entropy,0-30 repetições,1.4978742837905878,0.44221166947202534,30
YATSERVER|BINCSVH3|MONO,heif,0-10 repetições,100.03509578704833,0.7666426796757939,10
YATSERVER|BINCSVH3|MONO,heif,0-30 repetições,100.35693022410075,1.1860177002637435,30
YATSERVER|BINCSVH3|MONO,ppmd,0-10 repetições,1.2625051498413082,0.05109061027638588,10
YATSERVER|BINCSVH3|MONO,ppmd,0-30 repetições,1.2620494922002152,0.04027218284848834,30
YATSERVER|BINCSVH3|MONO,zlib,0-10 repetições,0.5174312114715572,0.006633940125810495,10
YATSERVER|BINCSVH3|MONO,zlib,0-30 repetições,0.5229530334472652,0.022977745199414572,30
YATSERVER|BINCSVH3|NOBREAK,entropy,0-10 repetições,17.76017050743103,1.691735330430882,10
YATSERVER|BINCSVH3|NOBREAK,entropy,0-30 repetições,17.4390327056249,1.491486364504411,30
YATSERVER|BINCSVH3|NOBREAK,heif,0-10 repetições,103.58673813343049,2.944287447987535,10
YATSERVER|BINCSVH3|NOBREAK,heif,0-30 repetições,103.1827715476354,1.9145080309444105,30
YATSERVER|BINCSVH3|NOBREAK,ppmd,0-10 repetições,7.749201250076294,0.12076250814736351,10
YATSERVER|BINCSVH3|NOBREAK,ppmd,0-30 repetições,7.695080852508545,0.08892058193039899,30
YATSERVER|BINCSVH3|NOBREAK,zlib,0-10 repetições,3.831898021697998,0.016166432813225128,10
YATSERVER|BINCSVH3|NOBREAK,zlib,0-30 repetições,3.832333238919576,0.05181032709170863,30
YATSERVER|BINCSVH3|SLEEP,entropy,0-10 repetições,4.892730236053467,1.2440771426461965,10
YATSERVER|BINCSVH3|SLEEP,entropy,0-30 repetições,4.701582956314087,1.019266579830094,30
YATSERVER|BINCSVH3|SLEEP,heif,0-10 repetições,102.6560518503189,1.8108724336543536,10
YATSERVER|BINCSVH3|SLEEP,heif,0-30 repetições,103.35800250371297,3.092821320061689,30
YATSERVER|BINCSVH3|SLEEP,ppmd,0-10 repetições,2.3871497869491574,0.037959205140219256,10
YATSERVER|BINCSVH3|SLEEP,ppmd,0-30 repetições,2.3871985356012977,0.030746890174767585,30
YATSERVER|BINCSVH3|SLEEP,zlib,0-10 repetições,2.6541429281234743,0.03659267213723978,10
YATSERVER|BINCSVH3|SLEEP,zlib,0-30 repetições,2.6351116339365643,0.036350414045998834,30
YATSERVER|BINCSVH3|SWAP,entropy,0-10 repetições,17.372163510322572,1.9334786707184228,10
YATSERVER|BINCSVH3|SWAP,entropy,0-30 repetições,17.772145946820576,1.6363755995782823,30
YATSERVER|BINCSVH3|SWAP,heif,0-10 repetições,191.76045660972596,3.7652973098159213,10
YATSERVER|BINCSVH3|SWAP,heif,0-30 repetições,191.7286805152893,3.385599617316886,30
YATSERVER|BINCSVH3|SWAP,ppmd,0-10 repetições,4.7224565029144285,0.027477936011860958,10
YATSERVER|BINCSVH3|SWAP,ppmd,0-30 repetições,4.742405581474304,0.04844739962066054,30
YATSERVER|BINCSVH3|SWAP,zlib,0-10 repetições,2.399828195571899,0.019209341056022615,10
YATSERVER|BINCSVH3|SWAP,zlib,0-30 repetições,2.4126821358998614,0.02585189313059191,30
YATSERVER|BINCSVH3|UNLOCK,entropy,0-10 repetições,2.086752319335937,0.5695348155198563,10
YATSERVER|BINCSVH3|UNLOCK,entropy,0-30 repetições,2.179187353452046,0.693209797951177,30
YATSERVER|BINCSVH3|UNLOCK,heif,0-10 repetições,112.3232744693756,12.656400752563293,10
YATSERVER|BINCSVH3|UNLOCK,heif,0-30 repetições,107.15087071259816,9.056948622609628,30
YATSERVER|BINCSVH3|UNLOCK,ppmd,0-10 repetições,1.2301658868789669,0.010461880976856847,10
YATSERVER|BINCSVH3|UNLOCK,ppmd,0-30 repetições,1.2407037417093911,0.03118004893858002,30
YATSERVER|BINCSVH3|UNLOCK,zlib,0-10 repetições,0.6499902486801142,0.009603705540036226,10
YATSERVER|BINCSVH3|UNLOCK,zlib,0-30 repetições,0.6502755482991531,0.009807285234765019,30
YATSERVER|BINCSVL1|ALTCONTROL,entropy,0-10 repetições,1.164258527755737,0.529552968691562,10
YATSERVER|BINCSVL1|ALTCONTROL,entropy,0-30 repetições,1.106744877497355,0.39034780092020477,30
YATSERVER|BINCSVL1|ALTCONTROL,heif,0-10 repetições,30.37694444656372,1.2380495724285057,10
YATSERVER|BINCSVL1|ALTCONTROL,heif,0-30 repetições,30.656139413515728,1.0104410688275518,30
YATSERVER|BINCSVL1|ALTCONTROL,ppmd,0-10 repetições,21.384736156463624,1.7204897260405234,10
YATSERVER|BINCSVL1|ALTCONTROL,ppmd,0-30 repetições,21.30172673861186,1.4308012011004012,30
YATSERVER|BINCSVL1|ALTCONTROL,zlib,0-10 repetições,6.56101622581482,0.0676766141674701,10
YATSERVER|BINCSVL1|ALTCONTROL,zlib,0-30 repetições,6.59609150091807,0.0987904823566531,30
YATSERVER|BINCSVL1|BCLEAN,entropy,0-10 repetições,0.9764813423156735,0.01137257653584028,10
YATSERVER|BINCSVL1|BCLEAN,entropy,0-30 repetições,1.1329062382380166,0.619498356928619,30
YATSERVER|BINCSVL1|BCLEAN,heif,0-10 repetições,182.45740060806276,2.4571091218329952,10
YATSERVER|BINCSVL1|BCLEAN,heif,0-30 repetições,182.7195010503133,2.35741783752389,30
YATSERVER|BINCSVL1|BCLEAN,ppmd,0-10 repetições,2.0567553520202635,0.9722580616596148,10
YATSERVER|BINCSVL1|BCLEAN,ppmd,0-30 repetições,1.9786536773045855,0.6990259728275741,30
YATSERVER|BINCSVL1|BCLEAN,zlib,0-10 repetições,0.5218633651733393,0.012703256591622438,10
YATSERVER|BINCSVL1|BCLEAN,zlib,0-30 repetições,0.5168340444564815,0.00899622090515102,30
YATSERVER|BINCSVL1|INFINITE,entropy,0-10 repetições,1.7501278877258297,0.41723337827167806,10
YATSERVER|BINCSVL1|INFINITE,entropy,0-30 repetições,1.8011490503946936,0.6741606134123952,30
YATSERVER|BINCSVL1|INFINITE,heif,0-10 repetições,129.1660395860672,1.167574253301481,10
YATSERVER|BINCSVL1|INFINITE,heif,0-30 repetições,130.76172527472178,2.8039471089396044,30
YATSERVER|BINCSVL1|INFINITE,ppmd,0-10 repetições,1.7263093709945676,0.9942862362391927,10
YATSERVER|BINCSVL1|INFINITE,ppmd,0-30 repetições,1.5796146154403685,0.7973272443897844,30
YATSERVER|BINCSVL1|INFINITE,zlib,0-10 repetições,0.51576018333435,0.011786948432599946,10
YATSERVER|BINCSVL1|INFINITE,zlib,0-30 repetições,0.5402475674947098,0.051579315304611184,30
YATSERVER|BINCSVL1|MONO,entropy,0-10 repetições,2.510077571868896,0.5288800246315992,10
YATSERVER|BINCSVL1|MONO,entropy,0-30 repetições,2.462517833709717,0.5015082989318326,30
YATSERVER|BINCSVL1|MONO,heif,0-10 repetições,291.746168923378,2.2960618781405264,10
YATSERVER|BINCSVL1|MONO,heif,0-30 repetições,293.3712112585703,9.195675710442629,30
YATSERVER|BINCSVL1|MONO,ppmd,0-10 repetições,1.850621938705444,0.42473972527323023,10
YATSERVER|BINCSVL1|MONO,ppmd,0-30 repetições,1.9272494316101072,0.5134703947922571,30
YATSERVER|BINCSVL1|MONO,zlib,0-10 repetições,0.9620470762252802,0.017387888334242693,10
YATSERVER|BINCSVL1|MONO,zlib,0-30 repetições,0.9578330039978024,0.02279172172871646,30
YATSERVER|BINCSVL1|NOBREAK,entropy,0-10 repetições,8.032453513145446,1.3251114899644103,10
YATSERVER|BINCSVL1|NOBREAK,entropy,0-30 repetições,8.128081504503886,1.4966552949003764,30
YATSERVER|BINCSVL1|NOBREAK,heif,0-10 repetições,225.14840137958527,2.4485009955549453,10
YATSERVER|BINCSVL1|NOBREAK,heif,0-30 repetições,223.90577907562255,2.3270928726550566,30
YATSERVER|BINCSVL1|NOBREAK,ppmd,0-10 repetições,23.46823651790619,1.1091014692259296,10
YATSERVER|BINCSVL1|NOBREAK,ppmd,0-30 repetições,23.804096476236978,1.5407230389541031,30
YATSERVER|BINCSVL1|NOBREAK,zlib,0-10 repetições,7.132871341705322,0.24074287583354095,10
YATSERVER|BINCSVL1|NOBREAK,zlib,0-30 repetições,7.0069930712382,0.17095490890207066,30
YATSERVER|BINCSVL1|SLEEP,entropy,0-10 repetições,1.6599469900131223,0.1673122826291888,10
YATSERVER|BINCSVL1|SLEEP,entropy,0-30 repetições,1.8172605435053504,0.653439453450109,30
YATSERVER|BINCSVL1|SLEEP,heif,0-10 repetições,202.215021276474,1.8325595413153775,10
YATSERVER|BINCSVL1|SLEEP,heif,0-30 repetições,203.33367035388946,2.233742683652322,30
YATSERVER|BINCSVL1|SLEEP,ppmd,0-10 repetições,1.618794751167297,1.0096650523057822,10
YATSERVER|BINCSVL1|SLEEP,ppmd,0-30 repetições,1.5610480388005572,0.8317923252094783,30
YATSERVER|BINCSVL1|SLEEP,zlib,0-10 repetições,1.2963737249374385,0.03680058490052103,10
YATSERVER|BINCSVL1|SLEEP,zlib,0-30 repetições,1.294547343254089,0.024469032728069155,30
YATSERVER|BINCSVL1|SWAP,entropy,0-10 repetições,6.365103721618652,1.009369956113676,10
YATSERVER|BINCSVL1|SWAP,entropy,0-30 repetições,6.339858357111613,1.2347492253391386,30
YATSERVER|BINCSVL1|SWAP,heif,0-10 repetições,96.74087767601013,1.519352192468858,10
YATSERVER|BINCSVL1|SWAP,heif,0-30 repetições,97.12941950162252,2.042133030698952,30
YATSERVER|BINCSVL1|SWAP,ppmd,0-10 repetições,3.921878552436828,0.640920266992773,10
YATSERVER|BINCSVL1|SWAP,ppmd,0-30 repetições,3.8216019709904985,0.7217174748032837,30
YATSERVER|BINCSVL1|SWAP,zlib,0-10 repetições,3.1407243728637693,0.15147477153266078,10
YATSERVER|BINCSVL1|SWAP,zlib,0-30 repetições,3.1172557274500523,0.13717996964922496,30
YATSERVER|BINCSVL1|UNLOCK,entropy,0-10 repetições,3.6077879667282104,0.5585975857525811,10
YATSERVER|BINCSVL1|UNLOCK,entropy,0-30 repetições,3.654620758692423,0.7306555191682573,30
YATSERVER|BINCSVL1|UNLOCK,heif,0-10 repetições,227.45032861232758,4.035796473753418,10
YATSERVER|BINCSVL1|UNLOCK,heif,0-30 repetições,229.01863146622975,4.464678596027038,30
YATSERVER|BINCSVL1|UNLOCK,ppmd,0-10 repetições,1.4624463319778438,0.49738213269654197,10
YATSERVER|BINCSVL1|UNLOCK,ppmd,0-30 repetições,1.5027225494384764,0.698594885491186,30
YATSERVER|BINCSVL1|UNLOCK,zlib,0-10 repetições,0.64361982345581,0.0067632403973339585,10
YATSERVER|BINCSVL1|UNLOCK,zlib,0-30 repetições,0.652777004241943,0.01452899026458416,30
YATSERVER|BINCSVL2|ALTCONTROL,entropy,0-10 repetições,1.6620264530181885,1.0423988915334583,10
YATSERVER|BINCSVL2|ALTCONTROL,entropy,0-30 repetições,1.5350605726242064,0.8241653918621269,30
YATSERVER|BINCSVL2|ALTCONTROL,heif,0-10 repetições,185.30768058300018,2.8403166467562673,10
YATSERVER|BINCSVL2|ALTCONTROL,heif,0-30 repetições,188.29144277572632,8.793189472103936,30
YATSERVER|BINCSVL2|ALTCONTROL,ppmd,0-10 repetições,20.73388726711273,1.0762849619564696,10
YATSERVER|BINCSVL2|ALTCONTROL,ppmd,0-30 repetições,20.74817813237508,1.2725549613126548,30
YATSERVER|BINCSVL2|ALTCONTROL,zlib,0-10 repetições,6.269659113883972,0.0968788647960618,10
YATSERVER|BINCSVL2|ALTCONTROL,zlib,0-30 repetições,6.288022804260254,0.10980256940747098,30
YATSERVER|BINCSVL2|BCLEAN,entropy,0-10 repetições,1.925784039497375,0.9952137063604657,10
